Part: Draft8_ver1_mateksys:1 Location: X=0.0000000 m, Y=0.0000000 m, Z=0.0000000 m
Part: Pixhawk-Jetson-Baseboard-3D:1 Location: X=0.0063753 m, Y=0.0023225 m, Z=-0.0040000 m
Part: TopCage_BigBoard_Draft2:1 Location: X=0.0060000 m, Y=0.0011200 m, Z=0.0000000 m
Part: cageTest:1 Location: X=-0.0032309 m, Y=0.0011000 m, Z=0.0119303 m
Part: cageTest:1\BoardCage_ver6_TOP:1 Location: X=-0.0032369 m, Y=0.0011003 m, Z=0.0119276 m
Part: cageTest:1\BoardCage_ver7:1 Location: X=-0.0032309 m, Y=0.0011000 m, Z=0.0119303 m
Part: BatteryCageTop_Draft12:1 Location: X=-0.0007600 m, Y=-0.0007600 m, Z=0.0000000 m
Part: BatteryCageBottom_Draft9:1 Location: X=0.0004256 m, Y=-0.0073600 m, Z=-0.0000000 m
Part: bigBattery:1 Location: X=0.0002926 m, Y=-0.0081600 m, Z=-0.0000447 m
Part: MATEKSYS-PM12S-3:1 Location: X=-0.0016922 m, Y=0.0004500 m, Z=-0.0001500 m
Part: FA60_andPM12S_chair:1 Location: X=0.0000000 m, Y=0.0004500 m, Z=0.0000000 m
Part: TMOTOR FA60 4in1 ESC:1 Location: X=0.0024863 m, Y=0.0008500 m, Z=0.0000000 m
Part: pcba-pm06-0702:1 Location: X=-0.0179902 m, Y=0.0224844 m, Z=-0.0084981 m
Part: intelRealSenseTest:1 Location: X=0.0077000 m, Y=0.0011000 m, Z=0.0000000 m
Part: intelRealSenseTest:1\intelRealSense_D435_cage_ver3:1 Location: X=0.0093000 m, Y=0.0008000 m, Z=0.0000100 m
Part: intelRealSenseTest:1\peripheral_adapter_ver1:1 Location: X=0.0077000 m, Y=0.0011000 m, Z=0.0000000 m
Part: intelRealSenseTest:1\Intel Realsense D435:1 Location: X=0.0130207 m, Y=-0.0004657 m, Z=0.0000100 m
Part: DIN 912 - replaced by DIN EN ISO 4762 M3 x 16:1 Location: X=0.0077100 m, Y=0.0008000 m, Z=0.0000000 m
Part: DIN 912 - replaced by DIN EN ISO 4762 M3 x 6:1 Location: X=0.0059440 m, Y=-0.0014889 m, Z=0.0059440 m
Part: DIN 912 - replaced by DIN EN ISO 4762 M3 x 6:2 Location: X=0.0059440 m, Y=-0.0014889 m, Z=-0.0059440 m
Part: DIN 912 - replaced by DIN EN ISO 4762 M3 x 6:3 Location: X=-0.0059440 m, Y=-0.0014889 m, Z=0.0059440 m
